EmpID,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,JobFunctionDescription,Performance Score,Current Employee Rating
3939,05-Sep-19,,Data Analyst,Nicole Hill,CCDR,Active,Part-Time,Zone A,Part-Time,IT/IS,General - Con,Foreman,Fully Meets,3
3940,11-Aug-19,,Sr. DBA,Kaitlyn Young,EW,Active,Contract,Zone B,Full-Time,IT/IS,General - Con,Technician,Fully Meets,3
3941,04-Nov-18,,Data Analyst,Alejandra Spencer,BPC,Active,Full-Time,Zone B,Temporary,IT/IS,Field Operations,Laborer,Fully Meets,3
3942,04-Nov-18,22-Dec-21,Principal Data Architect,Brian Gamble MD,PYZ,Voluntarily Terminated,Contract,Zone B,Temporary,IT/IS,Catv,Laborer,PIP,3
3943,27-Jul-19,25-Jul-21,Data Analyst ,Lauren Moore,NEL,Voluntarily Terminated,Part-Time,Zone A,Part-Time,IT/IS,General - Eng,Administrative,Fully Meets,3
3944,21-Dec-20,,Data Analyst,Joseph Owen,SVG,Active,Full-Time,Zone A,Full-Time,IT/IS,General - Sga,Administrator,Fully Meets,3
3945,25-Jul-22,,Data Analyst,Carla Wilson,MSC,Active,Full-Time,Zone C,Temporary,IT/IS,Engineers,Engineer,PIP,3
3946,15-Jun-19,,Database Administrator,Valerie Moody,NEL,Active,Contract,Zone A,Temporary,IT/IS,Shop (Fleet),Technician,Fully Meets,3
3947,04-Apr-20,22-Jun-22,Database Administrator,Heather Phillips,EW,Terminated for Cause,Full-Time,Zone B,Full-Time,IT/IS,Field Operations,Field Technician,Fully Meets,3
3948,03-Feb-23,29-May-23,Data Analyst,Peggy Mccoy,MSC,Voluntarily Terminated,Contract,Zone C,Full-Time,IT/IS,Aerial,Foreman,Fully Meets,3
3949,20-Sep-22,04-Jul-23,Sr. DBA,Natasha Walton,SVG,Future Start,Full-Time,Zone A,Temporary,IT/IS,General - Con,Laborer,Fully Meets,3
3950,12-Jul-23,,Database Administrator,George Willis,CCDR,Active,Full-Time,Zone A,Part-Time,IT/IS,Fielders,Engineer,Fully Meets,3
3951,25-Apr-21,12-Feb-23,Database Administrator,Joseph Jensen,MSC,Terminated for Cause,Contract,Zone A,Temporary,IT/IS,Wireline Construction,Groundman,Fully Meets,3
3952,13-Mar-21,,Data Analyst,Donna Young,EW,Active,Full-Time,Zone A,Full-Time,IT/IS,Finance & Accounting,Assistant,Fully Meets,3
3953,16-Aug-21,,Data Analyst,Nicole Elliott,BPC,Active,Full-Time,Zone B,Full-Time,IT/IS,General - Eng,Engineer,Fully Meets,3
3954,18-Oct-21,,Database Administrator,Gerald Carey,CCDR,Active,Full-Time,Zone B,Temporary,IT/IS,General - Con,Flagger,Fully Meets,3
3955,16-Feb-20,16-Mar-23,Database Administrator,Aaron Richards,SVG,Active,Contract,Zone C,Full-Time,IT/IS,Project Management - Con,Coordinator,Fully Meets,3
3956,07-Aug-19,08-Mar-23,Database Administrator,Joseph Shelton,EW,Active,Contract,Zone A,Temporary,IT/IS,General - Sga,Foreman,Fully Meets,3
3957,03-Jan-22,,Database Administrator,Rose Conner,MSC,Active,Contract,Zone C,Temporary,IT/IS,Field Operations,Administration,Fully Meets,3
3958,22-Sep-20,,Database Administrator,Jacqueline Huerta,TNS,Active,Part-Time,Zone C,Full-Time,IT/IS,Field Operations,Foreman,PIP,3
3959,11-Nov-22,14-Jul-23,Data Architect,Douglas Chapman,PYZ,Terminated for Cause,Part-Time,Zone A,Full-Time,IT/IS,General - Con,Foreman,Fully Meets,3
3960,11-Aug-18,,CIO,Guy Hansen,WBL,Active,Part-Time,Zone A,Full-Time,IT/IS,Field Operations,Laborer,Fully Meets,3
3961,31-Mar-23,,BI Director,Angela Gibson,NEL,Active,Full-Time,Zone A,Full-Time,IT/IS,Aerial,Lineman,Fully Meets,3
3962,10-Mar-21,,Sr. DBA,Joseph Patton,MSC,Active,Contract,Zone B,Part-Time,IT/IS,Aerial,Lineman,Fully Meets,3
3963,30-Aug-19,,Sr. Accountant,Debra Mckenzie,TNS,Active,Part-Time,Zone B,Temporary,IT/IS,Field Operations,Foreman,Fully Meets,3
3964,07-Jun-21,25-Jan-23,Sr. Accountant,Wendy Jackson,PYZ,Future Start,Part-Time,Zone A,Temporary,IT/IS,Aerial,Lineman,Exceeds,3
3965,22-Apr-20,,Software Engineering Manager,Shaun Bell,WBL,Active,Contract,Zone B,Part-Time,IT/IS,General - Con,Laborer,Fully Meets,3
3966,19-Oct-18,04-Sep-21,Software Engineer,Ruth Myers,NEL,Future Start,Contract,Zone A,Part-Time,Software Engineering,Field Operations,Laborer,Fully Meets,3
3967,03-Dec-18,20-Jan-21,Data Analyst,Harold Jones,MSC,Active,Full-Time,Zone A,Temporary,IT/IS,Finance & Accounting,Administration,Fully Meets,3
3968,20-Feb-21,,Data Analyst,Susan Smith,NEL,Active,Contract,Zone B,Temporary,IT/IS,Engineers,Engineer,Fully Meets,3
3969,17-Jan-21,,Database Administrator,Derrick Johnson,PL,Active,Contract,Zone A,Full-Time,IT/IS,Aerial,Lineman,Exceeds,3
3970,04-Oct-20,27-Apr-23,Database Administrator,Cynthia Gardner,PYZ,Active,Part-Time,Zone B,Full-Time,IT/IS,Field Operations,Foreman,Exceeds,3
3971,29-Jan-21,,Database Administrator,Joel Hodge II,SVG,Active,Part-Time,Zone A,Temporary,IT/IS,General - Con,Technician,Fully Meets,3
3972,26-Jul-22,,Database Administrator,Raymond Wilson,TNS,Active,Part-Time,Zone B,Part-Time,IT/IS,General - Con,Foreman,Fully Meets,3
3973,21-Sep-18,22-Jun-23,Database Administrator,Jason Sims,WBL,Terminated for Cause,Part-Time,Zone C,Temporary,IT/IS,Field Operations,Laborer,Exceeds,3
3974,25-Dec-18,10-Jul-19,Data Architect,Ronnie Garcia,BPC,Terminated for Cause,Part-Time,Zone C,Full-Time,IT/IS,General - Eng,Engineer,Exceeds,3
3975,03-Nov-20,25-Sep-22,CIO,Curtis Hill,CCDR,Terminated for Cause,Part-Time,Zone B,Temporary,IT/IS,Field Operations,Technician,Fully Meets,3
3976,22-Oct-21,,Sr. DBA,Curtis Mathis,MSC,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,Laborer,Fully Meets,3
3977,27-Aug-18,,Sr. Accountant,Bryan Sanchez,TNS,Active,Full-Time,Zone A,Full-Time,IT/IS,Wireline Construction,Apprentice,Fully Meets,3
3978,12-Jul-20,,Sr. Accountant,Mark Hines DDS,PYZ,Active,Part-Time,Zone B,Part-Time,IT/IS,General - Con,Laborer,Fully Meets,3
3979,25-Jan-21,11-Jun-22,Software Engineering Manager,Emma Allen,WBL,Future Start,Contract,Zone C,Temporary,IT/IS,Technology / It,Controller,Fully Meets,3
3980,11-May-20,,Data Analyst,John Hart,PL,Active,Full-Time,Zone C,Full-Time,IT/IS,Project Management - Con,Project Manager,Exceeds,3
3981,24-Jul-20,09-Apr-23,Data Analyst,Richard Bailey,BPC,Active,Full-Time,Zone A,Temporary,IT/IS,Field Operations,Laborer,Fully Meets,3
3982,09-Aug-22,,Database Administrator,Beverly Parker,CCDR,Active,Part-Time,Zone B,Part-Time,IT/IS,Aerial,Laborer,Needs Improvement,3
3983,12-Jun-22,,Database Administrator,Daniel Hart,SVG,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,Technician,Exceeds,3
3984,10-Feb-22,08-Jun-22,Database Administrator,Thomas Ramirez,EW,Active,Contract,Zone B,Full-Time,IT/IS,Wireline Construction,Laborer,Fully Meets,3
3985,13-Jan-23,19-May-23,Database Administrator,Melissa Turner,MSC,Terminated for Cause,Part-Time,Zone A,Part-Time,IT/IS,People Services,Director,Fully Meets,3
3986,10-Mar-20,,Database Administrator,Lynn Jackson,TNS,Active,Part-Time,Zone A,Temporary,IT/IS,Catv,Supervisor,Fully Meets,3
3987,25-Feb-22,19-Jul-22,Data Architect,Lindsay Nelson,PYZ,Terminated for Cause,Full-Time,Zone A,Full-Time,IT/IS,Catv,Supervisor,Exceeds,3
3988,21-Jul-22,21-Nov-22,Sr. DBA,Anthony Williams,SVG,Leave of Absence,Contract,Zone A,Temporary,IT/IS,Shop (Fleet),Mechanic,Fully Meets,3
3989,11-Jul-22,,Sr. DBA,Mr. Jason Brock,TNS,Active,Full-Time,Zone C,Part-Time,IT/IS,General - Con,Foreman,Fully Meets,3
3990,02-Dec-19,26-Dec-19,Sr. Accountant,Caitlin Murphy,WBL,Future Start,Contract,Zone C,Temporary,IT/IS,Safety,Safety,Fully Meets,3
3991,10-Apr-23,,Sr. Accountant,Ashley Cervantes,BPC,Active,Contract,Zone B,Full-Time,IT/IS,Project Management - Con,Coordinator,Fully Meets,3
3992,08-Dec-22,07-May-23,Data Analyst,Roy Villegas,SVG,Active,Part-Time,Zone A,Full-Time,IT/IS,General - Eng,Technician,Fully Meets,3
3993,22-Jun-22,,Data Analyst,Gregory Ramirez,PYZ,Active,Contract,Zone C,Full-Time,IT/IS,Field Operations,Foreman,Fully Meets,3
3994,22-Sep-22,,Data Analyst,Latoya Lam,PL,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,Top Hand,Fully Meets,3
3995,15-Jul-19,01-Jun-21,Database Administrator,Stuart White,NEL,Active,Full-Time,Zone A,Temporary,IT/IS,Wireline Construction,Project Manager,Exceeds,3
3996,01-Sep-21,,Database Administrator,Summer Carter,MSC,Active,Part-Time,Zone C,Full-Time,IT/IS,Catv,Laborer,Fully Meets,3
3997,16-Jul-19,,Database Administrator,Jordan George,EW,Active,Contract,Zone A,Temporary,IT/IS,Engineers,Project Manager,Needs Improvement,3
3998,24-Dec-21,27-Jul-22,Database Administrator,Brittany Rubio,CCDR,Terminated for Cause,Full-Time,Zone B,Full-Time,IT/IS,Yard (Material Handling),Administrative,Fully Meets,3
3999,17-Apr-19,17-Aug-21,Database Administrator,John Henderson,BPC,Terminated for Cause,Full-Time,Zone B,Full-Time,IT/IS,Engineers,Engineer,Exceeds,3
4000,26-Oct-19,08-Jun-21,Data Architect,Eugene Morgan,PYZ,Terminated for Cause,Contract,Zone C,Full-Time,IT/IS,Field Operations,Technician,Fully Meets,3
1001,29-Aug-19,,Software Engineer,Angela Carlson,BPC,Active,Part-Time,Zone A,Part-Time,Software Engineering,Engineers,Engineer,Fully Meets,3
1002,12-Dec-22,28-May-23,Software Engineer,Angela Hayes,NEL,Active,Part-Time,Zone A,Temporary,Software Engineering,Catv,Foreman,Fully Meets,3
1003,08-Mar-23,15-Mar-23,Software Engineer,Christina Copeland,WBL,Active,Contract,Zone A,Part-Time,Software Engineering,Field Operations,Foreman,Fully Meets,3
1004,29-May-20,05-Mar-21,Software Engineer,Jennifer Cohen,PYZ,Active,Part-Time,Zone C,Part-Time,Software Engineering,Project Management - Con,Coordinator,Fully Meets,3
1005,16-Sep-22,,Software Engineer,Mr. Jesus Richards,SVG,Active,Full-Time,Zone B,Temporary,Software Engineering,Field Operations,Project Manager,Fully Meets,3
1006,15-Aug-21,20-Nov-21,Software Engineer,Beth Johnson,MSC,Active,Full-Time,Zone C,Part-Time,Software Engineering,Engineers,Administrative,Fully Meets,3
1007,25-Oct-20,26-Sep-21,Software Engineer,Raymond Adams,SVG,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Software Engineering,General - Con,Lineman,Fully Meets,3
1008,28-Aug-19,04-May-20,Software Engineer,Jessica Rhodes,BPC,Active,Contract,Zone B,Temporary,Software Engineering,General - Con,Foreman,Fully Meets,3
1009,13-Jun-19,12-Jan-23,Software Engineer,Steven Tran,NEL,Active,Part-Time,Zone C,Temporary,Software Engineering,General - Con,Model Assistant,Fully Meets,3
1010,12-Jan-21,18-Mar-22,Software Engineer,Kristen Collier,EW,Voluntarily Terminated,Part-Time,Zone C,Temporary,Software Engineering,Field Operations,Supervisor,Fully Meets,3
1011,07-Feb-22,12-Feb-23,Software Engineer,David Lopez,MSC,Voluntarily Terminated,Contract,Zone A,Temporary,Software Engineering,General - Con,Foreman,Fully Meets,3
1012,09-Nov-20,06-Jun-21,Software Engineer,Candice Schmidt,TNS,Voluntarily Terminated,Contract,Zone A,Temporary,Software Engineering,General - Eng,Administrative,Fully Meets,3
1013,13-May-20,,Software Engineer,Christy Craig,PYZ,Active,Part-Time,Zone B,Full-Time,Software Engineering,Engineers,Engineer,Fully Meets,3
1014,31-Dec-22,13-Jul-23,Shared Services Manager,Jermaine Weaver,WBL,Active,Part-Time,Zone A,Full-Time,Software Engineering,Catv,Clerk,Fully Meets,3
1015,03-Dec-18,,Shared Services Manager,James Barajas,NEL,Active,Contract,Zone A,Part-Time,Software Engineering,People Services,Vp,Fully Meets,3
1016,21-Feb-20,29-May-21,Senior BI Developer,Tyler Davis,PL,Active,Part-Time,Zone B,Part-Time,Admin Offices,Shop (Fleet),Mechanic,Fully Meets,3
1017,07-Sep-20,15-Dec-21,Senior BI Developer,Joshua Gonzalez,BPC,Active,Full-Time,Zone B,Full-Time,Admin Offices,Field Operations,Laborer,Fully Meets,3
1018,19-Jun-20,08-Dec-21,Senior BI Developer,Justin Sherman,CCDR,Active,Part-Time,Zone A,Part-Time,Admin Offices,General - Con,Laborer,Fully Meets,3
1019,14-Oct-22,28-Jul-23,Software Engineer,Sara Holland,EW,Voluntarily Terminated,Full-Time,Zone A,Temporary,Software Engineering,Fielders,Engineer,Fully Meets,3
1020,20-Jun-23,18-Jul-23,Software Engineer,Shelia Graham,MSC,Voluntarily Terminated,Contract,Zone C,Full-Time,Software Engineering,Field Operations,Supervisor,Fully Meets,3
1021,09-Nov-20,17-Jul-23,Software Engineer,Amanda Hayden,TNS,Voluntarily Terminated,Full-Time,Zone C,Full-Time,Software Engineering,General - Eng,Billing,Fully Meets,3
1022,19-Sep-22,,Software Engineer,Nicole Haynes,PYZ,Active,Part-Time,Zone A,Temporary,Software Engineering,Field Operations,Engineer,Fully Meets,3
1023,09-Nov-18,10-Oct-21,Shared Services Manager,Debra Morales,WBL,Active,Contract,Zone C,Part-Time,Software Engineering,General - Con,Clerk,Fully Meets,3
1024,30-Dec-18,23-Jun-21,Shared Services Manager,Chad Andrews,NEL,Active,Contract,Zone A,Part-Time,Software Engineering,Fielders,Coordinator,Fully Meets,3
1025,11-May-23,15-May-23,Senior BI Developer,John Wallace,PL,Active,Full-Time,Zone A,Temporary,Admin Offices,Field Operations,Foreman,Fully Meets,3
1026,03-Nov-22,09-Feb-23,Senior BI Developer,Benjamin Frederick,BPC,Active,Contract,Zone A,Part-Time,Admin Offices,Engineers,Engineer,Fully Meets,3
1027,14-Jun-20,29-May-21,Senior BI Developer,Michael Ramos,CCDR,Active,Part-Time,Zone A,Full-Time,Admin Offices,General - Con,Flagger,Fully Meets,3
1028,15-Oct-19,01-Jan-23,Software Engineer,Donna Boone,PYZ,Voluntarily Terminated,Full-Time,Zone C,Part-Time,Software Engineering,General - Con,Model Assistant,Fully Meets,3
1029,28-Apr-20,,Software Engineer,Jeffrey Johnston,SVG,Active,Part-Time,Zone B,Part-Time,Software Engineering,Field Operations,Specialist,Fully Meets,3
1030,29-Oct-19,,Software Engineer,Sarah King,TNS,Active,Contract,Zone C,Temporary,Software Engineering,Field Operations,Foreman,Fully Meets,3
1031,28-Apr-21,,Software Engineer,Cynthia Delgado,WBL,Active,Part-Time,Zone B,Temporary,Software Engineering,General - Con,Lineman,Fully Meets,3
1032,19-Apr-22,26-Aug-22,Software Engineer,Dominique Bailey,PYZ,Active,Full-Time,Zone C,Part-Time,Software Engineering,Aerial,Laborer,Fully Meets,3
1033,28-Mar-23,,Shared Services Manager,Teresa Meyer,WBL,Active,Contract,Zone B,Full-Time,Software Engineering,Field Operations,Operator,Fully Meets,3
1034,06-May-19,,Shared Services Manager,Sarah Carey,NEL,Active,Full-Time,Zone C,Part-Time,Software Engineering,Project Management - Con,Manager,Fully Meets,3
1035,13-Oct-20,,Senior BI Developer,Taylor Wright,PL,Active,Full-Time,Zone A,Temporary,Admin Offices,Underground,Laborer,Fully Meets,3
1036,06-Jul-21,25-Nov-21,Senior BI Developer,Daniel Moore,BPC,Active,Part-Time,Zone A,Part-Time,Admin Offices,Field Operations,Foreman,Fully Meets,3
1037,24-Sep-20,02-Nov-20,Software Engineer,Stacey Vargas,CCDR,Voluntarily Terminated,Part-Time,Zone C,Full-Time,Software Engineering,Fielders,Engineer,Fully Meets,3
1038,18-Jan-23,,Software Engineer,Beth Anderson,SVG,Active,Contract,Zone B,Part-Time,Software Engineering,Field Operations,Crew Leader,Fully Meets,3
1039,22-Aug-19,25-Mar-22,Software Engineer,Joshua Daniels,EW,Voluntarily Terminated,Part-Time,Zone B,Part-Time,Software Engineering,Finance & Accounting,Administrative,Fully Meets,3
1040,25-Jul-19,17-Dec-22,Software Engineer,Mark Mays,MSC,Voluntarily Terminated,Contract,Zone A,Part-Time,Software Engineering,Field Operations,Technician,Fully Meets,3
1041,11-Nov-19,10-Jan-20,Software Engineer,Brandon Ortiz,TNS,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Software Engineering,Engineers,Administrative,Fully Meets,3
1042,16-Jul-22,,Software Engineer,Cheryl Swanson,PYZ,Active,Contract,Zone B,Temporary,Software Engineering,Field Operations,Driller,Fully Meets,3
1043,19-Dec-22,10-May-23,Shared Services Manager,Matthew Patel,WBL,Active,Full-Time,Zone C,Part-Time,Software Engineering,Splicing,Billing,Fully Meets,3
1044,15-Sep-20,,Shared Services Manager,Jennifer Adams,NEL,Active,Contract,Zone A,Temporary,Software Engineering,Field Operations,Foreman,Fully Meets,3
1045,04-Oct-20,27-Feb-23,Senior BI Developer,Kelly Williams,PL,Active,Full-Time,Zone C,Temporary,Admin Offices,Catv,Foreman,Fully Meets,3
1046,23-Apr-22,03-Aug-22,Software Engineer,Jose Daniel,CCDR,Voluntarily Terminated,Full-Time,Zone A,Temporary,Software Engineering,Underground,Laborer,Fully Meets,3
1047,27-Nov-21,,Software Engineer,Vanessa Ramirez,SVG,Active,Contract,Zone A,Part-Time,Software Engineering,Field Operations,Technician,Fully Meets,3
1048,29-Nov-19,,Software Engineer,Joshua Pittman,EW,Active,Part-Time,Zone A,Temporary,Software Engineering,General - Con,Helper,Fully Meets,3
1049,30-May-19,19-Dec-20,Software Engineer,Patricia Brewer,MSC,Voluntarily Terminated,Part-Time,Zone B,Part-Time,Software Engineering,Field Operations,Technician,Fully Meets,3
1050,23-Nov-20,,Software Engineer,Jerry Suarez,TNS,Active,Contract,Zone B,Temporary,Software Engineering,Finance & Accounting,Accounting,Fully Meets,3
1051,08-Apr-22,11-Jan-23,Software Engineer,Allison York,PYZ,Active,Full-Time,Zone C,Part-Time,Software Engineering,Field Operations,Operator,Fully Meets,3
1052,25-Feb-21,04-Jun-21,Shared Services Manager,Christopher Romero,WBL,Active,Contract,Zone B,Part-Time,Software Engineering,General - Con,Foreman,Fully Meets,3
1053,13-Mar-19,07-Apr-21,Shared Services Manager,Timothy Hansen,NEL,Active,Contract,Zone C,Full-Time,Software Engineering,Project Management - Con,Project Manager,Fully Meets,3
1054,12-Feb-23,,Software Engineer,Christopher Romero,PL,Active,Part-Time,Zone A,Full-Time,Software Engineering,Engineers,Project Manager,Fully Meets,3
1055,08-Sep-18,,Software Engineer,Alec Hernandez,PYZ,Active,Contract,Zone C,Full-Time,Software Engineering,Field Operations,Laborer,Fully Meets,3
1056,18-Nov-21,,Software Engineer,Kari Bishop,SVG,Active,Contract,Zone C,Temporary,Software Engineering,Wireline Construction,Driver,Fully Meets,3
1057,01-Jul-23,,Software Engineer,Justin Grant,TNS,Active,Full-Time,Zone A,Full-Time,Software Engineering,Wireline Construction,Foreman,Fully Meets,3
1058,18-Apr-22,,Software Engineer,Sarah Sims,WBL,Active,Contract,Zone C,Temporary,Software Engineering,Billable Consultants,Technician,Fully Meets,3
1059,29-Apr-23,,Software Engineer,Emily Brennan,BPC,Active,Part-Time,Zone C,Full-Time,Software Engineering,Engineers,Engineer,Fully Meets,3
1060,10-Oct-18,25-Dec-18,Shared Services Manager,Sandra Black,CCDR,Active,Part-Time,Zone B,Full-Time,Software Engineering,General - Con,Project Manager,Fully Meets,3
1061,20-Nov-22,,Shared Services Manager,Laura Norman,EW,Active,Part-Time,Zone C,Part-Time,Software Engineering,General - Sga,Specialist,Fully Meets,3
1062,18-May-19,14-Jan-20,Software Engineer,Amanda Hale,BPC,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Software Engineering,Engineers,Program Manager,Fully Meets,3
1063,22-Jun-21,,Software Engineer,James Baker,CCDR,Active,Full-Time,Zone B,Temporary,Software Engineering,Aerial,Foreman,Fully Meets,3
1064,30-Mar-22,13-Apr-22,Software Engineer,Terry Durham,SVG,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Software Engineering,Field Operations,Technician,Fully Meets,3
1065,28-Aug-18,,Software Engineer,Erik Simon,EW,Active,Contract,Zone C,Temporary,Software Engineering,Engineers,Engineer,Fully Meets,3
1066,27-Dec-21,05-Jan-23,Software Engineer,Summer Moreno,MSC,Active,Full-Time,Zone C,Temporary,Software Engineering,Catv,Operator,Fully Meets,3
1067,14-Nov-20,,Software Engineer,Carla Cox,TNS,Active,Part-Time,Zone A,Temporary,Software Engineering,Field Operations,Technician,Fully Meets,3
1068,01-Oct-21,,Software Engineer,Mary Mendoza,PYZ,Active,Full-Time,Zone B,Part-Time,Software Engineering,Wireline Construction,Project Manager,Fully Meets,3
1069,13-Oct-18,28-May-23,Shared Services Manager,Cassandra Smith,WBL,Active,Full-Time,Zone B,Part-Time,Software Engineering,General - Con,Foreman,Fully Meets,3
1070,15-Dec-18,28-May-22,Shared Services Manager,Warren Baker,NEL,Active,Full-Time,Zone C,Temporary,Software Engineering,General - Sga,Project Manager,Fully Meets,3
1071,28-Mar-19,17-Oct-20,Software Engineer,Amy Bell,PL,Voluntarily Terminated,Contract,Zone A,Part-Time,Software Engineering,Field Operations,Laborer,Fully Meets,3
1072,27-Dec-18,,Software Engineer,Teresa Lopez,BPC,Active,Part-Time,Zone C,Part-Time,Software Engineering,Field Operations,Operator,Fully Meets,3
1073,11-May-19,,Software Engineer,Kimberly Holland,CCDR,Active,Full-Time,Zone A,Full-Time,Software Engineering,Field Operations,Foreman,Fully Meets,3
1074,19-Feb-21,24-Feb-23,Software Engineer,Robert Garcia,SVG,Voluntarily Terminated,Full-Time,Zone A,Temporary,Software Engineering,General - Con,Laborer,Fully Meets,3
1075,05-Nov-22,16-Apr-23,Software Engineer,Nicholas Martinez,EW,Active,Part-Time,Zone B,Full-Time,Software Engineering,Engineers,Engineer,Fully Meets,3
1076,22-Mar-20,28-Sep-20,Software Engineer,Carlos Barnes,MSC,Active,Contract,Zone C,Part-Time,Software Engineering,General - Eng,Administrative,Fully Meets,3
1077,02-Feb-19,,Software Engineer,Allison Jacobs,TNS,Active,Contract,Zone B,Temporary,Software Engineering,Wireless,Foreman,Fully Meets,3
1078,24-Feb-20,16-Jun-21,Software Engineer,Angela Ramsey,PYZ,Active,Contract,Zone C,Temporary,Software Engineering,Aerial,Foreman,Fully Meets,3
1079,07-Apr-21,01-May-22,Shared Services Manager,Malik Smith,WBL,Active,Part-Time,Zone B,Full-Time,Software Engineering,Project Management - Eng,Manager,Fully Meets,3
1080,14-Nov-20,,Shared Services Manager,Jessica Lewis,NEL,Active,Part-Time,Zone C,Full-Time,Software Engineering,Fielders,Engineer,Fully Meets,3
1081,17-Jan-22,10-Aug-22,Software Engineer,Kayla Ibarra,EW,Voluntarily Terminated,Contract,Zone B,Part-Time,Software Engineering,General - Con,Laborer,Fully Meets,3
1082,02-Sep-21,27-Jun-23,Software Engineer,Ryan Mathews,MSC,Active,Part-Time,Zone B,Part-Time,Software Engineering,General - Con,Technician,Fully Meets,3
1083,30-Jul-23,,Software Engineer,Melissa Scott,NEL,Active,Part-Time,Zone A,Full-Time,Software Engineering,Aerial,Supervisor,Fully Meets,3
1084,27-Jun-23,,Software Engineer,Robert Schmitt,PL,Active,Contract,Zone C,Part-Time,Software Engineering,Executive,Administrator,Fully Meets,3
1085,27-Mar-22,,Software Engineer,Patricia Wallace,PYZ,Active,Contract,Zone B,Full-Time,Software Engineering,General - Con,Lineman,Fully Meets,3
1086,12-Aug-22,20-Oct-22,Software Engineer,Justin Young,SVG,Active,Contract,Zone A,Temporary,Software Engineering,Field Operations,Supervisor,Fully Meets,3
1087,08-Jul-22,04-Aug-23,Software Engineer,Robert Salinas,TNS,Active,Part-Time,Zone A,Part-Time,Software Engineering,Field Operations,Tower Hand,Fully Meets,3
1088,15-Aug-20,23-Jan-21,Software Engineer,Mary Anderson,WBL,Active,Contract,Zone B,Part-Time,Software Engineering,General - Con,Foreman,Fully Meets,3
1089,27-May-23,14-Jun-23,Software Engineer,Jennifer Stevens,BPC,Active,Full-Time,Zone A,Temporary,Software Engineering,Wireline Construction,Groundman,Fully Meets,3
1090,02-Jan-23,,Shared Services Manager,Jennifer Murphy,CCDR,Active,Part-Time,Zone C,Full-Time,Software Engineering,Field Operations,Technician,Fully Meets,3
1091,16-Nov-18,03-Apr-21,Production Technician I,Daniel Booth,PYZ,Active,Contract,Zone B,Temporary,Production       ,General - Sga,Supervisor,Fully Meets,3
1092,12-Jul-22,,Production Technician I,Martin Jackson,PYZ,Active,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Clerk,Fully Meets,3
1093,16-Dec-22,,Production Technician I,Elizabeth Richards,NEL,Active,Contract,Zone B,Part-Time,Production       ,Engineers,Engineer,Fully Meets,3
1094,08-May-23,,Production Technician II,Jose Bray,EW,Active,Part-Time,Zone A,Full-Time,Production       ,Field Operations,Foreman,Fully Meets,3
1095,07-Apr-23,,Production Technician II,Jamie Frye,WBL,Active,Full-Time,Zone A,Temporary,Production       ,Engineers,Engineer,Fully Meets,3
1096,15-Feb-22,19-Oct-22,Production Technician I,Adam Hunt,PYZ,Active,Part-Time,Zone C,Part-Time,Production       ,Shop (Fleet),Mechanic,Fully Meets,3
1097,17-Jul-23,03-Aug-23,Production Technician I,Jeffrey Saunders,SVG,Active,Contract,Zone B,Part-Time,Production       ,Field Operations,Technician,Fully Meets,3
1098,03-May-19,02-Jun-23,Production Technician I,Stephanie Griffin,PL,Voluntarily Terminated,Part-Time,Zone A,Temporary,Production       ,General - Eng,Engineer,Fully Meets,3
1099,25-Mar-22,22-Apr-22,Production Technician I,Robert Sullivan,SVG,Active,Part-Time,Zone A,Part-Time,Production       ,Field Operations,Laborer,Fully Meets,3
1100,07-Apr-20,,Production Technician I,Charles Delacruz,EW,Active,Full-Time,Zone C,Temporary,Production       ,Field Operations,Laborer,Fully Meets,3
1101,10-Mar-21,,Production Technician I,John Alvarez,TNS,Active,Full-Time,Zone A,Part-Time,Production       ,Engineers,Engineer,Fully Meets,3
1102,04-Aug-19,,Production Technician II,Margaret Lee,EW,Active,Part-Time,Zone A,Part-Time,Production       ,General - Con,Groundman,Fully Meets,3
1103,11-Apr-21,27-May-23,Production Technician I,Chad Moreno,BPC,Voluntarily Terminated,Full-Time,Zone C,Temporary,Production       ,Splicing,Splicer,Fully Meets,3
1104,16-Jun-19,,Production Technician I,Matthew West,PYZ,Active,Part-Time,Zone C,Temporary,Production       ,General - Eng,Supervisor,Fully Meets,3
1105,08-Oct-20,04-Dec-22,Production Technician I,Mark Jacobs,PL,Voluntarily Terminated,Contract,Zone A,Full-Time,Production       ,General - Con,Technician,Fully Meets,3
1106,18-Aug-21,,Production Technician II,Isaac Long,BPC,Active,Full-Time,Zone B,Temporary,Production       ,Aerial,Lineman,Fully Meets,3
1107,16-Mar-20,,Production Technician II,Amanda Marshall,BPC,Active,Contract,Zone A,Part-Time,Production       ,Wireline Construction,Laborer,Fully Meets,3
