title,author,date
Rocket Lab launches Electron in test of booster recovery,Jeff Foust,"November 19, 2020"
Astra to make second orbital launch attempt,Jeff Foust,"November 19, 2020"
Air Force reveals candidate locations for U.S. Space Command headquarters,Sandra Erwin,"November 19, 2020"
Viasat claims KA-SAT as Eutelsat joint venture winds down,Debra Werner,"November 19, 2020"
SpaceX to transition to fully reusable fleet for national security launches,Sandra Erwin,"November 19, 2020"
News Analysis | SpaceX has a lot riding on Starlink’s $499 “UFO on a stick” ,Doug Mohney,"November 19, 2020"
NSF to decommission Arecibo radio telescope,Jeff Foust,"November 19, 2020"
"India’s Shukrayaan orbiter to study Venus for over four years, launches in 2024",Jatan Mehta,"November 19, 2020"
Voyager Space Holdings to acquire The Launch Company,Sandra Erwin,"November 19, 2020"
OneWeb ready to emerge from Chapter 11,Jeff Foust,"November 19, 2020"
Space traffic management bill clears Senate committee,Jeff Foust,"November 19, 2020"
International Space Pitch Day offers model for future events,Debra Werner,"November 18, 2020"
ULA: Dream Chaser schedule slip not a setback to Vulcan certification,Sandra Erwin,"November 18, 2020"
FAA: Commercial space launch regulations ‘in final coordination’,Sandra Erwin,"November 18, 2020"
First Dream Chaser mission slips to 2022,Jeff Foust,"November 18, 2020"
Astroscale announces 2021 Soyuz launch of ELSA-d mission,Debra Werner,"November 18, 2020"
Horn eyes space role in Biden administration,Jeff Foust,"November 18, 2020"
Orbit Fab to launch first fuel tanker in 2021 with Spaceflight,Debra Werner,"November 17, 2020"
Commerce Department drafting space traffic management concepts as it awaits funding,Sandra Erwin,"November 17, 2020"
"Anti-war groups take aim at Space Force, ICBMs, missile defense",Sandra Erwin,"November 17, 2020"
Maxar taps MDA for robotic satellite servicing technologies,Debra Werner,"November 17, 2020"
Human error blamed for Vega launch failure,Jeff Foust,"November 17, 2020"
Space Flight Laboratory to build three more GHGSat satellites,Debra Werner,"November 17, 2020"
Okapi:Orbits releases its first collision avoidance product,Debra Werner,"November 17, 2020"
China rolls out Long March 5 rocket to launch Chang’e-5 lunar sample return mission,Andrew Jones,"November 17, 2020"
Crew Dragon docks to ISS on first operational mission,Jeff Foust,"November 17, 2020"
Vega launch fails after upper stage malfunction,Jeff Foust,"November 16, 2020"
Voyager Space eyes new acquisitions as industry appears headed for consolidation,Sandra Erwin,"November 16, 2020"
"Study: As space industry offers more services, government missing out on opportunities",Sandra Erwin,"November 16, 2020"
Virgin Galactic delays SpaceShipTwo test flight because of pandemic,Jeff Foust,"November 16, 2020"
SpaceX launches first operational Crew Dragon mission to ISS,Jeff Foust,"November 15, 2020"
Rep. Doug Lamborn: U.S. needs plan to develop workforce for growing space sector,Sandra Erwin,"November 15, 2020"
First Rocket Lab U.S. launch delayed to 2021,Jeff Foust,"November 14, 2020"
ULA Atlas 5 launches National Reconnaissance Office satellite,Sandra Erwin,"November 13, 2020"
Weather delays Crew-1 launch,Jeff Foust,"November 13, 2020"
Marine Corps stands up space unit at Offutt Air Force Base,Sandra Erwin,"November 13, 2020"
ESA signs a trio of Copernicus contracts worth 1.3 billion euros,Andrew Parsonson,"November 13, 2020"
Virgin Galactic executive to lead Australian Space Agency,Jeff Foust,"November 13, 2020"
"Senate report criticizes Space Force plan to acquire secure, nuclear-survivable satcom ",Sandra Erwin,"November 12, 2020"
Spaceflight announces Sherpa tug with electric propulsion,Jeff Foust,"November 12, 2020"
Independent panel recommends delaying Mars Sample Return missions,Jeff Foust,"November 12, 2020"
Changing NASA requirements caused cost and schedule problems for Gateway,Jeff Foust,"November 12, 2020"
Ex-Im reviewing nearly $2 billion in applications for space industry projects,Jeff Foust,"November 11, 2020"
Kleos Space raises funds for additional RF mapping clusters,Debra Werner,"November 11, 2020"
Telesat remains optimistic about prospects for LEO constellation,Jeff Foust,"November 11, 2020"
“Revolutionary change” expected from new Indian space policy,Andrew Jones,"November 11, 2020"
NASA certifies SpaceX Crew Dragon spacecraft ahead of Crew-1 launch,Jeff Foust,"November 11, 2020"
Senate bill offers NASA only a fraction of requested lunar lander funding,Jeff Foust,"November 11, 2020"
Senate defense appropriators take issue with agencies that buy launch services directly from providers,Sandra Erwin,"November 10, 2020"
Raytheon to acquire small satellite manufacturer Blue Canyon Technologies,Sandra Erwin,"November 10, 2020"
Governments continue to dominate radar satellite data market,Debra Werner,"November 10, 2020"
Virgin Orbit CEO Hart: Smallsat launchers need governments as anchor customers,Sandra Erwin,"November 10, 2020"
Space insurers hoping to break even after recent losses,Jeff Foust,"November 10, 2020"
U.S. Air Force taps Brig. Gen. Purdy to command 45th Space Wing,Sandra Erwin,"November 10, 2020"
Euroconsult: Record number of smallsats launched in 2020,Sandra Erwin,"November 10, 2020"
Dragracer to demonstrate the value of tethers for satellite deorbit,Debra Werner,"November 10, 2020"
APT Satellite orders new small HTS satellite from China’s CGWIC,Andrew Jones,"November 10, 2020"
Large launch companies cast doubt on viability of small launch vehicle market,Jeff Foust,"November 10, 2020"
Japanese lunar lander company ispace opens U.S. office,Jeff Foust,"November 10, 2020"
RUAG Space: New powerful computer for satellites,RUAG Space,"November 10, 2020"
Satellite manufacturers remain upbeat about market in spite of challenges presented by pandemic,Debra Werner,"November 9, 2020"
Biden administration not seen as a threat to Space Force,Sandra Erwin,"November 9, 2020"
SpaceX gets $29 million Space Force contract for surveillance of non-military launches,Sandra Erwin,"November 9, 2020"
"Raymond’s Space Force vision calls for lean organization, emphasizes civil-military ties",Sandra Erwin,"November 9, 2020"
Trump ousts defense secretary Mark Esper,Sandra Erwin,"November 9, 2020"
SpaceX explains why the U.S. Space Force is paying $316 million for a single launch,Sandra Erwin,"November 9, 2020"
Satellite operators boast of resilient businesses during pandemic,Jeff Foust,"November 9, 2020"
L3Harris wins contract to apply artificial intelligence to remotely sensed data,Debra Werner,"November 9, 2020"
"After testing, Hughes is ready to produce HeloSat communications system",Debra Werner,"November 9, 2020"
Biden administration expected to emphasize climate science over lunar exploration at NASA,Jeff Foust,"November 9, 2020"
C-band bonanza bails out sluggish year for satellite orders,Debra Werner,"November 9, 2020"
Weather and technical problems further delay SLS Green Run test,Jeff Foust,"November 8, 2020"
"India back in action with launch of Earth observation satellite, nine rideshare small sats",Andrew Jones,"November 7, 2020"
"Chinese rocket firm Galactic Energy succeeds with first orbital launch, secures funding",Andrew Jones,"November 7, 2020"
Maxar eyes September 2021 launch for WorldView Legion satellites,Debra Werner,"November 6, 2020"
Key senator raises doubts about 2024 human lunar return,Jeff Foust,"November 6, 2020"
"Raytheon, L3Harris, BAE Systems get $552 million for GPS user equipment",Sandra Erwin,"November 6, 2020"
"Airbus, Raytheon protest Space Development Agency satellite contract awards",Sandra Erwin,"November 6, 2020"
Satellogic launches 10 satellites to provide high-resolution imagery,Jeff Foust,"November 6, 2020"
Spacety launches satellite to test ThrustMe iodine electric propulsion and constellation technologies,Debra Werner,"November 6, 2020"
"China sets targets for smart, recoverable and reusable launch vehicles",Andrew Jones,"November 6, 2020"
EchoStar launch of Jupiter 3 broadband satellite slips to 2022,Debra Werner,"November 6, 2020"
Virgin Galactic prepares to transition to operations,Jeff Foust,"November 5, 2020"
Baldridge replaces Dankberg as Viasat CEO,Debra Werner,"November 5, 2020"
"NGA adds Planet, BlackSky to imagery delivery system used by government agencies",Sandra Erwin,"November 5, 2020"
SpaceX launches U.S. Space Force GPS 3 satellite,Sandra Erwin,"November 5, 2020"
Rocket Lab to attempt Electron stage recovery on next launch,Jeff Foust,"November 5, 2020"
New report outlines international approach to lunar exploration,Jeff Foust,"November 5, 2020"
Former astronaut Mark Kelly wins Senate race in Arizona,Jeff Foust,"November 4, 2020"
Crew-1 launch remains on schedule despite Sentinel-6 slip,Jeff Foust,"November 3, 2020"
New initiative to promote satellite servicing and in-space assembly technologies,Jeff Foust,"November 3, 2020"
Frontier Aerospace completes design of Peregrine thrusters,Debra Werner,"November 3, 2020"
Air Force opens new laboratory to test satellite components,Sandra Erwin,"November 3, 2020"
ESA awards €1.5 million to three German launch startups,Andrew Parsonson,"November 3, 2020"
Vector restarting operations under new ownership,Jeff Foust,"November 3, 2020"
Space traffic management idling in first gear,Jeff Foust,"November 3, 2020"
U.S. military keeps sharp eyes on orbit as congestion grows,Sandra Erwin,"November 3, 2020"
Spacebit invites research partners for 2021 lunar missions,Debra Werner,"November 2, 2020"
Moon patrols could be a future reality for Space Force,Sandra Erwin,"November 2, 2020"
"Top commander of U.S. space forces: Space should be peaceful, bad actors will be held accountable",Sandra Erwin,"November 2, 2020"
Pentagon creates new office to oversee military space policy,Sandra Erwin,"October 30, 2020"
Space industry seeks continued progress on regulatory reform,Jeff Foust,"October 30, 2020"
NASA-ESA agreement a milestone in efforts to develop Artemis international partnerships,Jeff Foust,"October 30, 2020"
China outlines architecture for future crewed moon landings,Andrew Jones,"October 30, 2020"
Virgin Orbit to take stake in Sky and Space Global,Jeff Foust,"October 30, 2020"
OSIRIS-REx safely stores asteroid sample,Jeff Foust,"October 30, 2020"
Report: Lack of government investment hurting U.S. geospatial intelligence industry,Sandra Erwin,"October 29, 2020"
NXTCOMM leases Eutelsat capacity to test electronically steered antenna,Debra Werner,"October 29, 2020"
"Telesat to announce satellite, launch contracts by year’s end",Debra Werner,"October 29, 2020"
"House Space Force Caucus co-chair voices concern about orbital debris, supports Commerce assuming debris-tracking role",Brianna Gurciullo,"October 29, 2020"
ESA requests €230 million more for Ariane 6 as maiden flight slips to 2022,Andrew Parsonson,"October 29, 2020"
Space industry group pushing for change in security clearance policies,Sandra Erwin,"October 29, 2020"
Parsons to acquire space and cybersecurity firm Braxton Science & Technology Group,Sandra Erwin,"October 29, 2020"
Finland’s Iceye names new CEO for Iceye US: Jerry Welsh,Debra Werner,"October 29, 2020"
Redwire acquires Roccor and signals intent to keep growing,Debra Werner,"October 29, 2020"
SpaceX finds cause of Falcon 9 engine abort,Jeff Foust,"October 29, 2020"
Rocket Lab launches 10 imaging smallsats,Jeff Foust,"October 29, 2020"
General Atomics acquires Guidestar Optical Systems,Debra Werner,"October 28, 2020"
Air Force Secretary Barrett: Space Force proving naysayers wrong,Sandra Erwin,"October 28, 2020"
Launchspace to test Debris Collection payload on ISS Bartolomeo platform,Debra Werner,"October 28, 2020"
D-Orbit Satellite Carrier delivers Planet SuperDoves to desired orbits,Debra Werner,"October 28, 2020"
NASA’s Crew-1 commander to be sworn into U.S. Space Force from the International Space Station,Sandra Erwin,"October 28, 2020"
FCC approves OneWeb sale as Starlink begins public beta,Jeff Foust,"October 28, 2020"
Satellites eligible for FCC’s $9 billion 5G Fund for Rural America,Debra Werner,"October 28, 2020"
Aerospace Corp. calls for collaboration in space solar power,Debra Werner,"October 27, 2020"
Space experts roll out policy advice as Election Day nears,Sandra Erwin,"October 27, 2020"
"Interview | FCC Chairman Pai on RDOF, megaconstellations, debris rules and C-band auction",Caleb Henry,"October 27, 2020"
Starburst announces 15 finalists to pitch ideas to U.S. and U.K. defense agencies,Debra Werner,"October 27, 2020"
NOAA and Google to apply machine learning to satellite data,Debra Werner,"October 27, 2020"
NorthStar orders three satellites to collect space situational awareness data,Jeff Foust,"October 27, 2020"
Lunar water discovery may have limited effect on NASA exploration plans,Jeff Foust,"October 27, 2020"
Space Force extends Peraton’s contract for orbital analysis services,Sandra Erwin,"October 27, 2020"
Ovzon’s ultimate goal: global coverage with its own fleet of satellites,Debra Werner,"October 27, 2020"
Aerospace Corp. seeks to license laser communications,Debra Werner,"October 26, 2020"
NASA weighing lunar lander budget options,Jeff Foust,"October 26, 2020"
China launches latest trio of Yaogan-30 remote sensing satellites,Andrew Jones,"October 26, 2020"
Engineering software firm Ansys to acquire AGI for $700 million,Sandra Erwin,"October 26, 2020"
Space Development Agency begins market research for its next batch of satellites to be launched in 2024,Sandra Erwin,"October 25, 2020"
SpaceX reaches 100 successful launches with Starlink mission,Jeff Foust,"October 24, 2020"
Asteroid samples leaking from OSIRIS-REx,Jeff Foust,"October 23, 2020"
Axiom Space finalizing first commercial ISS mission,Jeff Foust,"October 23, 2020"
"Chinese rocket companies secure local government support for research, production facilities",Andrew Jones,"October 23, 2020"
Intelsat rejects $1.8 billion SES claim for C-band clearing payments,Jeff Foust,"October 23, 2020"
International consortium to launch tiny hyperspectral camera,Debra Werner,"October 23, 2020"
Space Force official: Launch scrubs are no reason to despair,Sandra Erwin,"October 22, 2020"
Thuraya CEO shares plans for fleet update and view of market,Debra Werner,"October 22, 2020"
Lockheed Martin shifts U.K. launch site,Jeff Foust,"October 22, 2020"
Raymond: Space Force has a plan to unify acquisition agencies,Sandra Erwin,"October 22, 2020"
ABL Space Systems tests launch vehicle stage,Jeff Foust,"October 22, 2020"
Senate bill would assign space traffic management work to Commerce Department,Jeff Foust,"October 22, 2020"
Airbus Ventures adds Zero-Error Systems to space portfolio,Debra Werner,"October 21, 2020"
NASA confident OSIRIS-REx collected asteroid samples,Jeff Foust,"October 21, 2020"
Space Force developing a digital strategy for designing and producing future satellites,Sandra Erwin,"October 21, 2020"
"Pentagon has not shown COVID stimulus helps small businesses, says HASC chairman",Sandra Erwin,"October 21, 2020"
HASC Chairman: Space Force has bigger worries than having to use Navy ranks,Sandra Erwin,"October 21, 2020"
Sweden ups investment to bring orbital launches to Esrange by 2022,Andrew Parsonson,"October 21, 2020"
GHGSat unveils free global methane map,Debra Werner,"October 21, 2020"
NASA and Energy Department sign cooperative agreement,Jeff Foust,"October 21, 2020"
TriSept signs deal to integrate Army cubesat with Electron ,Debra Werner,"October 21, 2020"
Space Force stands up operations command in Colorado Springs,Sandra Erwin,"October 21, 2020"
OSIRIS-REx touches down on asteroid,Jeff Foust,"October 20, 2020"
Lockheed Martin executives commend ULA for fighting back against SpaceX,Sandra Erwin,"October 20, 2020"
Bipartisan group of lawmakers launches House Space Force Caucus,Sandra Erwin,"October 20, 2020"
Momentus and Kepler announce service agreement,Debra Werner,"October 20, 2020"
SpaceX teams with Microsoft for Space Development Agency contract,Sandra Erwin,"October 20, 2020"
"SpaceX, SES to provide broadband for Microsoft’s Azure Space mobile data centers ",Sandra Erwin,"October 20, 2020"
Kratos unveils OpenSpace platform to make ground systems more adaptable,Debra Werner,"October 20, 2020"
JWST remains on track for October 2021 launch,Jeff Foust,"October 20, 2020"
Blue Origin trying to convince the Air Force to continue to invest in New Glenn,Sandra Erwin,"October 19, 2020"
"China’s CASIC reveals five-year plan for reusable spaceplane, commercial space projects",Andrew Jones,"October 19, 2020"
Falcon 9 investigation ongoing as SpaceX continues Starlink launches,Jeff Foust,"October 18, 2020"
NASA awards contracts for lunar technologies and ice prospecting payload,Jeff Foust,"October 17, 2020"
Space Force plans big reveals on its first anniversary,Sandra Erwin,"October 16, 2020"
AAC Clyde Space to acquire SpaceQuest for $8.4 million,Debra Werner,"October 16, 2020"
FAA publishes streamlined commercial launch regulations,Jeff Foust,"October 16, 2020"
SLS Green Run hotfire test set for mid-November,Jeff Foust,"October 15, 2020"
Orbital Sidekick wins $16 million U.S. Air Force contract,Debra Werner,"October 15, 2020"
ESA awards contracts for moon and Mars exploration,Jeff Foust,"October 15, 2020"
Telesat wins DARPA contract to manufacture satellite buses for Blackjack program,Sandra Erwin,"October 14, 2020"
NASA selects first human-tended suborbital research payload,Jeff Foust,"October 14, 2020"
U.S. Army solicits pitches for ‘satcom as a service’ for its logistics network,Sandra Erwin,"October 14, 2020"
SpaceX to explore ways to provide weather data to U.S. military,Sandra Erwin,"October 14, 2020"
Soyuz launch marks end of an era for NASA,Jeff Foust,"October 14, 2020"
"Japan, India set to resume launch activities in November",Andrew Jones,"October 14, 2020"
"SpaceX, Hughes and Viasat qualify to bid for $20.4 billion in FCC rural broadband subsidies",Brian Berger,"October 13, 2020"
"Webinar Replay | Space Traffic Management: Why Commerce, Why Now, What’s Next",SpaceNews Staff,"October 13, 2020"
ULA’s Tory Bruno argues for U.S. investments in the production of fuel in space,Sandra Erwin,"October 13, 2020"
Eight countries sign Artemis Accords,Jeff Foust,"October 13, 2020"
Planet unveils rapid revisit and change detection products,Debra Werner,"October 13, 2020"
"Astroscale raises $51 million in Series E, $191 million overall",Debra Werner,"October 13, 2020"
Upper stages top list of most dangerous space debris,Jeff Foust,"October 13, 2020"
Russia skeptical about participating in lunar Gateway,Jeff Foust,"October 12, 2020"
China launches Gaofen-13 observation satellite towards geostationary orbit,Andrew Jones,"October 11, 2020"
NASA delays commercial crew mission to study Falcon 9 engine issue,Jeff Foust,"October 10, 2020"
Small satellites’ growing role in Earth science,Jeff Foust,"October 10, 2020"
Exolaunch signs pact with SpaceX and scouts U.S. location,Debra Werner,"October 9, 2020"
Space industry rebounds from pandemic,Jeff Foust,"October 9, 2020"
Europe’s P120C booster completes third and final static fire test,Andrew Parsonson,"October 8, 2020"
"More than 1,000 Air Force cyber security operators to transfer to Space Force",Sandra Erwin,"October 8, 2020"
GHGSat lauds performance of methane-monitoring satellite,Debra Werner,"October 8, 2020"
Slingshot Aerospace to develop virtual space simulation for military schools,Sandra Erwin,"October 8, 2020"
Momentus deal could mark new wave of space companies going public,Jeff Foust,"October 8, 2020"
Startup seeks to automate process of avoiding satellite collisions,Jeff Foust,"October 7, 2020"
Boeing cleared to continue development of WGS-11+ military satellite,Sandra Erwin,"October 7, 2020"
U.S. Transportation Command to study use of SpaceX rockets to move cargo around the world,Sandra Erwin,"October 7, 2020"
Space Development Agency seeks bids for launch services for 28 satellites,Sandra Erwin,"October 7, 2020"
Boeing astronaut Chris Ferguson withdraws from Starliner test flight,Jeff Foust,"October 7, 2020"
Momentus to go public with Stable Road Acquisition Corp.,Debra Werner,"October 7, 2020"
House space subcommittee chair still seeking NASA plan for 2024 lunar landing,Jeff Foust,"October 7, 2020"
Capella Space unveils first radar satellite images,Debra Werner,"October 7, 2020"
Schedule is king for C-band replacement satellites,Debra Werner,"October 6, 2020"
DoD space agency driving Pentagon contractors to rethink their price points,Sandra Erwin,"October 6, 2020"
Space debris a frequent topic at Satellite Innovation 2020,Debra Werner,"October 6, 2020"
SpaceX launches Starlink satellites as it deorbits original ones,Jeff Foust,"October 6, 2020"
UAE to develop small lunar rover,Jeff Foust,"October 6, 2020"
"L3Harris, SpaceX win Space Development Agency contracts to build missile-warning satellites",Sandra Erwin,"October 5, 2020"
ExoTerra to develop upper stage for Virgin Orbit LauncherOne,Debra Werner,"October 5, 2020"
New CSF chairwoman focused on regulatory issues and selecting next president,Jeff Foust,"October 5, 2020"
SkyWatch and Picterra combine imagery access with AI tools,Debra Werner,"October 5, 2020"
Back-to-back launch scrubs frustrate Musk,Jeff Foust,"October 5, 2020"
California judge ends SpaceX’s lawsuit against the U.S. Air Force,Sandra Erwin,"October 3, 2020"
Antares launches Cygnus cargo spacecraft to space station,Jeff Foust,"October 2, 2020"
Bankruptcy court approves OneWeb sale,Jeff Foust,"October 2, 2020"
Momentus forges agreements with Skykraft and Mecano ID,Debra Werner,"October 2, 2020"
NASA safety panel raises doubts about Starliner test flight schedule,Jeff Foust,"October 2, 2020"
China selects 18 new astronauts ahead of space station construction,Andrew Jones,"October 2, 2020"
Space Force taking extra time to organize acquisitions command,Sandra Erwin,"October 1, 2020"
NASA safety panel warns of technical and budgetary risks to Artemis program,Jeff Foust,"October 1, 2020"
Boeing wins $298 million Space Force contract for jam-resistant communications satellite,Sandra Erwin,"October 1, 2020"
"Space Force members can go to the moon, if they’re picked by NASA",Sandra Erwin,"October 1, 2020"
Report backs NASA exploration efforts as response to Chinese space program,Jeff Foust,"October 1, 2020"
Time’s running out to submit your nominees for the 2020 SpaceNews Awards,SpaceNews Editor,"October 1, 2020"
German startup Rocket Factory Augsburg picks Norway for maiden flight of RFA One smallsat launcher,Andrew Parsonson,"October 1, 2020"
Starburst Aerospace announces expansion in India,Debra Werner,"October 1, 2020"
Space Force buyers make recruiting pitch to tech companies,Sandra Erwin,"September 30, 2020"
Swissto12 and Thales Alenia Space turn to 3D printing for communications satellite parts,Debra Werner,"September 30, 2020"
German cubesats to showcase formation flight technology,Debra Werner,"September 30, 2020"
Japan’s iQPS to update technology for future radar satellites,Debra Werner,"September 30, 2020"
OneWeb secures additional financing as bankruptcy restructuring continues,Jeff Foust,"September 30, 2020"
SpaceX has busy manifest of Dragon missions,Jeff Foust,"September 30, 2020"
Space Force weighing options to modernize ground antennas for military satellites,Sandra Erwin,"September 29, 2020"
NASA and SpaceX wrapping up certification of Crew Dragon,Jeff Foust,"September 29, 2020"
Swarm Technologies reveals plan to connect devices for $5 per device per month,Debra Werner,"September 29, 2020"
Kepler launches first internally produced satellites,Jeff Foust,"September 29, 2020"
NASA still searching for source of ISS air leak,Jeff Foust,"September 28, 2020"
Space Force says it has a plan to fix gaps in weather data,Sandra Erwin,"September 28, 2020"
SpaceX wins launch contract for NASA space science mission,Jeff Foust,"September 28, 2020"
Landsat Next likely to bear little resemblance to its predecessors,Debra Werner,"September 28, 2020"
Secretive Chinese launch sends two remote sensing satellites into orbit,Andrew Jones,"September 27, 2020"
NASA signs agreement with Italy to cooperate on Artemis,Jeff Foust,"September 25, 2020"
HyImpulse hybrid rocket motor roars to life for the first time,Andrew Parsonson,"September 25, 2020"
NASA delays Dragonfly launch by a year,Jeff Foust,"September 25, 2020"
SpaceX’s GPS contract modified to allow reuse of Falcon 9 boosters,Sandra Erwin,"September 25, 2020"
U.K. to revise strategy for satellite navigation system,Jeff Foust,"September 25, 2020"
NASA working with cosmetics company on space station commercialization,Jeff Foust,"September 24, 2020"
U.S. Space Command announces improvements in space debris tracking,Sandra Erwin,"September 24, 2020"
SAR Renaissance: Pandemic slows but doesn’t stop constellation progress,Debra Werner,"September 24, 2020"
Hemeria seeks niche in microsat manufacturing,Caleb Henry,"September 24, 2020"
Pandemic may delay several NASA astrophysics missions,Jeff Foust,"September 24, 2020"
"BlackSky to add high-resolution satellites in 2022,  signs deal with U.S. Army",Sandra Erwin,"September 24, 2020"
U.S. military to test Isotropic Systems antennas with SES satellites,Debra Werner,"September 24, 2020"
Bridenstine asks Senate appropriators for full funding for Artemis,Jeff Foust,"September 23, 2020"
Roper: Space Force could save money and time with digitally-designed satellites,Sandra Erwin,"September 23, 2020"
Spire adding cross links to cubesat constellation,Caleb Henry,"September 23, 2020"
Airbus signs $350 million contract to build CRISTAL ice-monitoring satellite for EU,Andrew Parsonson,"September 23, 2020"
"Airbus, Eutelsat win ESA study contracts • Leonardo CEO to lead industry group",Caleb Henry,"September 23, 2020"
Space station maneuvers to avoid debris,Jeff Foust,"September 23, 2020"
Blue Origin considers entering commercial space station business,Jeff Foust,"September 22, 2020"
"Space Force, DoD agencies, NRO try to get on the same page on future acquisitions",Sandra Erwin,"September 22, 2020"
"NASA affirms partnership with Space Force, Bridenstine stresses value of ‘soft power’",Sandra Erwin,"September 22, 2020"
Microsoft unveils Azure Orbital connecting satellites to its cloud,Debra Werner,"September 22, 2020"
Iceye raises $87 million in Series C investment round,Debra Werner,"September 22, 2020"
NASA makes push for full funding of Artemis human lunar lander program,Jeff Foust,"September 22, 2020"
L3Harris gets $119 million Space Force contract for deep-space telescopes,Sandra Erwin,"September 21, 2020"
Hyten: Space Force has a limited time window to define its future,Sandra Erwin,"September 21, 2020"
"Arianespace’s revised OneWeb contract drops Ariane 6, two Soyuz launches",Caleb Henry,"September 21, 2020"
NGA building ‘huge appetite’ for commercial geoint,Sandra Erwin,"September 21, 2020"
BlackSky eyes niche role in geospatial intelligence market,Sandra Erwin,"September 21, 2020"
NASA inspector general criticizes high-risk approach to CLPS program,Jeff Foust,"September 21, 2020"
Protecting Satellite Communications,Raytheon Intelligence & Space,"September 21, 2020"
New study looks at space power competition through China’s lens,Sandra Erwin,"September 20, 2020"
Pandemic exacerbates NASA cybersecurity challenges,Jeff Foust,"September 20, 2020"
PLD Space raises €7 million as it aims for sounding rocket’s 2021 debut,Andrew Parsonson,"September 18, 2020"
Mars smallsat mission bumped from launch,Jeff Foust,"September 18, 2020"
Reality show latest sign of growing commercial interest in ISS,Jeff Foust,"September 18, 2020"
NASA human spaceflight directorate completes reorganization,Jeff Foust,"September 17, 2020"
Space Development Agency praised as change agent in Pentagon procurement,Sandra Erwin,"September 17, 2020"
Astranis adds former NASA Administrator Dan Goldin to advisory board,Caleb Henry,"September 17, 2020"
Exotrail wins ESA contracts • SmartSky suing ATG equipment contractor • Eutelsat executive steps down,Caleb Henry,"September 17, 2020"
"Intelsat taps Maxar for fifth C-band satellite, capping order spree ",Caleb Henry,"September 17, 2020"
Megaconstellation startup Mangata Networks joins T-Mobile-backed 5G incubator,Caleb Henry,"September 17, 2020"
China is quietly preparing for November launch of the Chang’e-5 lunar sample return mission,Andrew Jones,"September 17, 2020"
Xage Security preparesU.S. Space Force cyber strategy,Debra Werner,"September 17, 2020"
CSF president to join Voyager Space Holdings,Jeff Foust,"September 17, 2020"
NASA and Energy Department step up cooperation,Jeff Foust,"September 17, 2020"
Military commanders could use more satellites for tactical surveillance,Sandra Erwin,"September 16, 2020"
Northrop Grumman wins $298 million contract to develop jam-resistant military satellite,Sandra Erwin,"September 16, 2020"
Nanoracks finalizing space station airlock and new funding round,Jeff Foust,"September 16, 2020"
U.S. Space Command to begin testing the last satellite of the AEHF-MILSTAR constellation,Sandra Erwin,"September 16, 2020"
Military early warning satellites to begin migration to new ground system,Sandra Erwin,"September 16, 2020"
Dynetics to use in-space refueling for NASA lunar lander,Jeff Foust,"September 16, 2020"
Raymond: A continuing resolution is problematic for the Space Force,Sandra Erwin,"September 15, 2020"
Polar launches from Cape won’t affect future of Vandenberg,Jeff Foust,"September 15, 2020"
Air Force Research Laboratory’s NTS-3 satellite to launch on ULA’s Vulcan,Sandra Erwin,"September 15, 2020"
"After downsizing, Avanti focusing on fleet fill rate, mulls small GEO satellites",Caleb Henry,"September 15, 2020"
SpaceNews is seeking experienced journalist to join our team,SpaceNews Staff,"September 15, 2020"
Tory Bruno reveals Chinese company tried to infiltrate ULA’s supply chain,Sandra Erwin,"September 15, 2020"
OHB to build ESA’s Hera asteroid mission,Caleb Henry,"September 15, 2020"
Former Pentagon official Fred Kennedy is the new president of Momentus,Debra Werner,"September 15, 2020"
Blue Canyon selects Orbion electric thrusters for DARPA’s Blackjack satellites,Sandra Erwin,"September 15, 2020"
Potential biosignature discovery could boost prospects of Venus missions,Jeff Foust,"September 15, 2020"
Bridenstine hints Artemis 3 could land near Apollo site,Jeff Foust,"September 14, 2020"
Brandywine Photonics conducts design study of constellation of hundreds of small weather satellites,Debra Werner,"September 14, 2020"
Space Force seeks to influence private sector investments in space technology,Sandra Erwin,"September 14, 2020"
Vega C debut slips to mid-2021,Caleb Henry,"September 14, 2020"
German export ban blocks Mynaric’s first laser terminal from launching in China,Caleb Henry,"September 14, 2020"
Congress set to pass space weather bill,Jeff Foust,"September 13, 2020"
Chinese Kuaizhou-1A rocket launch ends in failure,Andrew Jones,"September 12, 2020"
Astra launch terminated during first-stage burn,Jeff Foust,"September 11, 2020"
Atlas 5 to fly Northrop Grumman’s solid boosters in upcoming launch of NRO satellite,Sandra Erwin,"September 11, 2020"
ULA studying long-term upgrades to Vulcan,Jeff Foust,"September 11, 2020"
Virgin Orbit asks OneWeb bankruptcy court to mandate payment for canceled launches,Caleb Henry,"September 11, 2020"
First H3 launch slips to 2021,Jeff Foust,"September 11, 2020"
Raytheon wins contract to connect military aircraft to commercial internet satellites,Sandra Erwin,"September 10, 2020"
NASA offers to buy lunar samples to set space resources precedent,Jeff Foust,"September 10, 2020"
Space Force gets political boost from Senate supporters,Sandra Erwin,"September 10, 2020"
NOAA continues to explore options for future weather satellite architecture,Debra Werner,"September 10, 2020"
Relativity co-founder steps aside,Jeff Foust,"September 10, 2020"
QuadSAT pivots to offering ready-to-fly testing kits with fresh investment,Andrew Parsonson,"September 10, 2020"
Space Force outreach emphasizes role protecting global space economy,Sandra Erwin,"September 9, 2020"
